id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-428,2023-01-09,000001,Vente,135000,5016,,FLURIEUX,B037,01140,01252,Mogneneins,01,,,012520000A0158,,,,,,,,,,,,,0,1,Maison,30,1,S,sols,,,1345,4.821394,46.155144
2023-428,2023-01-09,000001,Vente,135000,,,FLURIEUX,B037,01140,01252,Mogneneins,01,,,012520000A0159,,,,,,,,,,,,,0,,,,,P,prés,,,907,4.820887,46.15517
2023-428,2023-01-09,000001,Vente,135000,,,FLURIEUX,B037,01140,01252,Mogneneins,01,,,012520000A0240,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1090,4.820989,46.154526
2023-428,2023-01-09,000001,Vente,135000,,,FLURIEUX,B037,01140,01252,Mogneneins,01,,,012520000A1290,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,19,4.82139,46.154509
2023-428,2023-01-09,000001,Vente,135000,,,FLURIEUX,B037,01140,01252,Mogneneins,01,,,012520000A1515,,,,,,,,,,,,,0,,,,,S,sols,,,480,4.821207,46.155023
2023-428,2023-01-09,000001,Vente,135000,,,FLURIEUX,B037,01140,01252,Mogneneins,01,,,012520000A1516,,,,,,,,,,,,,0,,,,,S,sols,,,20,4.820772,46.155227
2023-429,2023-01-24,000001,Vente,40000,,,LES PETOLLIERES,B104,01710,01419,Thoiry,01,,,014190000B0885,,,,,,,,,,,,,0,,,,,P,prés,,,3340,5.971411,46.247714
2023-429,2023-01-24,000001,Vente,40000,,,LES PETOLLIERES,B104,01710,01419,Thoiry,01,,,014190000B0886,,,,,,,,,,,,,0,,,,,P,prés,,,2310,5.971132,46.247779
2023-429,2023-01-24,000001,Vente,40000,,,LES PETOLLIERES,B104,01710,01419,Thoiry,01,,,014190000B0887,,,,,,,,,,,,,0,,,,,P,prés,,,2570,5.970877,46.247763
2023-429,2023-01-24,000001,Vente,40000,,,LES PETOLLIERES,B104,01710,01419,Thoiry,01,,,014190000B0888,,,,,,,,,,,,,0,,,,,P,prés,,,9590,5.970487,46.248151
2023-430,2023-01-19,000001,Vente,73000,5182,,LE BOURG,B026,01160,01314,Priay,01,,,013140000E2023,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,210,0,S,sols,,,359,5.290024,46.004008
2023-431,2023-01-19,000001,Vente,450000,1,,ALL SAINT EXUPERY,0805,01800,01088,Charnoz-sur-Ain,01,,,010880000C0868,,,,,,,,,,,,,0,1,Maison,117,5,S,sols,,,850,5.220607,45.864422
2023-432,2023-01-17,000001,Vente,90000,389,,GR GRANDE RUE,0680,01120,01262,Montluel,01,,,01262000AB0406,,,5,46.21,,,,,,,,,1,2,Appartement,45,2,,,,,,5.05425,45.850217
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0247,,,,,,,,,,,,,0,,,,,S,sols,,,73,4.822664,46.179605
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0254,,,,,,,,,,,,,0,,,,,S,sols,,,1363,4.822508,46.179889
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0259,,,,,,,,,,,,,0,,,,,S,sols,,,298,4.822012,46.179837
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0260,,,,,,,,,,,,,0,,,,,S,sols,,,483,4.822775,46.179969
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0261,,,,,,,,,,,,,0,,,,,S,sols,,,147,4.822055,46.179982
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0262,,,,,,,,,,,,,0,,,,,S,sols,,,178,4.822182,46.180049
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0271,,,,,,,,,,,,,0,,,,,S,sols,,,39,4.822044,46.180276
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0272,,,,,,,,,,,,,0,,,,,S,sols,,,212,4.822036,46.180229
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0277,,,,,,,,,,,,,0,,,,,S,sols,,,2157,4.822074,46.181187
2023-433,2023-01-11,000001,Vente,1,5980,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0278,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,S,sols,,,127,4.821748,46.180838
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0279,,,,,,,,,,,,,0,,,,,S,sols,,,166,4.822047,46.18157
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0288,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,33,4.822796,46.182296
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0300,,,,,,,,,,,,,0,,,,,S,sols,,,36,4.821955,46.180626
2023-433,2023-01-11,000001,Vente,1,,,CHAMP DU LOUP,B036,01140,01348,Saint-Didier-sur-Chalaronne,01,,,01348000ZY0301,,,,,,,,,,,,,0,,,,,S,sols,,,29,4.822008,46.180373
2023-434,2023-01-18,000001,Vente,180000,52,,AV SAINT EXUPERY,0505,01200,01033,Valserhône,01,,,01033000AB0339,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,10,0,S,sols,,,3503,5.810239,46.124278
